2024.06.24 18:22:05 INFO  web[][DbMigrations] #1230 'Drop index projects_root_id': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1231 'Drop columns PROJECTS.*_ID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1231 'Drop columns PROJECTS.*_ID': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1232 'Add column SNAPSHOTS.UUID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1232 'Add column SNAPSHOTS.UUID': success | time=6ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1233 'Populate column SNAPSHOTS.UUID'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 snapshots processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1233 'Populate column SNAPSHOTS.UUID': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1234 'Make column SNAPSHOTS.UUID not nullable'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1234 'Make column SNAPSHOTS.UUID not nullable': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1235 'Add unique index analyses_uuid'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1235 'Add unique index analyses_uuid': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1236 'Add column CE_ACTIVITY.ANALYSIS_UUID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1236 'Add column CE_ACTIVITY.ANALYSIS_UUID': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1237 'Populate column CE_ACTIVITY.ANALYSIS_UUID'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 ce_activity processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1237 'Populate column CE_ACTIVITY.ANALYSIS_UUID': success | time=8ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1238 'Drop column CE_ACTIVITY.SNAPSHOT_ID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1238 'Drop column CE_ACTIVITY.SNAPSHOT_ID': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1239 'Add columns DUPLICATION_INDEX.*_UUID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1239 'Add columns DUPLICATION_INDEX.*_UUID': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1240 'Populate columns DUPLICATION_INDEX.*_UUID'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 component uuid of duplications_index entries processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 analysis uuid of duplications_index entries processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1240 'Populate columns DUPLICATION_INDEX.*_UUID': success | time=9ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1241 'Clean orphan rows in table DUPLICATION_INDEX'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 duplications index rows without component processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 duplications index rows without analysis processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1241 'Clean orphan rows in table DUPLICATION_INDEX': success | time=3ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1242 'Make columns DUPLICATION_INDEX.*_UUID not nullable'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1242 'Make columns DUPLICATION_INDEX.*_UUID not nullable': success | time=5ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1243 'Drop index duplications_index_sid'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1243 'Drop index duplications_index_sid': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1244 'Drop columns DUPLICATION_INDEX.*SNAPSHOT_ID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1244 'Drop columns DUPLICATION_INDEX.*SNAPSHOT_ID': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1246 'Add column RULES_PROFILES.LAST_USED'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1246 'Add column RULES_PROFILES.LAST_USED': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1247 'Populate column RULES_PROFILES.LAST_USED'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1247 'Populate column RULES_PROFILES.LAST_USED': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1248 'Add column EVENTS.ANALYSIS_UUID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1248 'Add column EVENTS.ANALYSIS_UUID': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1249 'Populate column EVENTS.ANALYSIS_UUID'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 analysis uuid of root component events processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1249 'Populate column EVENTS.ANALYSIS_UUID': success | time=3ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1250 'Clean events without analysis_uuid'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 no analysis uuid events processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1250 'Clean events without analysis_uuid': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1251 'Clean events without snapshot_id'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 no snapshot id events processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1251 'Clean events without snapshot_id': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1252 'Make column EVENTS.ANALYSIS_UUID not nullable'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1252 'Make column EVENTS.ANALYSIS_UUID not nullable': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1253 'Drop index events_snapshot_id'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1253 'Drop index events_snapshot_id': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1254 'Drop columns EVENTS.SNAPSHOT_ID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1254 'Drop columns EVENTS.SNAPSHOT_ID': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1256 'Add column PROJECTS.UUID_PATH'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1256 'Add column PROJECTS.UUID_PATH': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1257 'Populate column PROJECTS.UUID_PATH'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 orphan components processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1257 'Populate column PROJECTS.UUID_PATH': success | time=6ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1258 'Make column PROJECTS.UUID_PATH not nullable'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1258 'Make column PROJECTS.UUID_PATH not nullable': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1259 'Remove password of non local users'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 none local users with password processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1259 'Remove password of non local users': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1260 'Add column ACTIVITIES.PROFILE_KEY'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1260 'Add column ACTIVITIES.PROFILE_KEY': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1261 'Populate column ACTIVITIES.PROFILE_KEY'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 activities processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1261 'Populate column ACTIVITIES.PROFILE_KEY': success | time=8ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1262 'Make column ACTIVITIES.PROFILE_KEY not nullable'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1262 'Make column ACTIVITIES.PROFILE_KEY not nullable': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1263 'Add column RULES_PROFILES.USER_UPDATED_AT'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1263 'Add column RULES_PROFILES.USER_UPDATED_AT': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1264 'Populate column RULES_PROFILES.USER_UPDATED_AT'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 quality profiles processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1264 'Populate column RULES_PROFILES.USER_UPDATED_AT': success | time=3ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1265 'Add column PROJECT_MEASURES.ANALYSIS_UUID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1265 'Add column PROJECT_MEASURES.ANALYSIS_UUID': success | time=4ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1266 'Add index measures_analysis_metric'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1266 'Add index measures_analysis_metric': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1267 'Populate column PROJECT_MEASURES.ANALYSIS_UUID'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 measures processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1267 'Populate column PROJECT_MEASURES.ANALYSIS_UUID': success | time=4ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1268 'Clean orphan measures'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 measures processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1268 'Clean orphan measures': success | time=4ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1269 'Temporary drop of index measures_analysis_metric'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1269 'Temporary drop of index measures_analysis_metric': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1270 'Make column PROJECT_MEASURES.ANALYSIS_UUID not nullable'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1270 'Make column PROJECT_MEASURES.ANALYSIS_UUID not nullable': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1271 'Restore index measures_analysis_metric'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1271 'Restore index measures_analysis_metric': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1272 'Delete snapshots but the one of root components'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 snapshots processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1272 'Delete snapshots but the one of root components': success | time=4ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1273 'Drop indices on tree columns of table SNAPSHOTS'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1273 'Drop indices on tree columns of table SNAPSHOTS': success | time=4ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1274 'Drop tree columns of table SNAPSHOTS'...
